block	11	11	11	11	11	11	11	11	11	11	11	11	11
102	06:45	08:05	09:30	10:50	12:10	13:20	14:40	15:50	17:10	18:20	19:40	21:15	22:45
113	06:47	08:07	09:32	10:52	12:12	13:22	14:42	15:52	17:12	18:22	19:42	21:17	22:47
121	06:49	08:09	09:34	10:54	12:14	13:24	14:44	15:54	17:14	18:24	19:44	21:19	22:49
131	06:50	08:10	09:35	10:55	12:15	13:25	14:45	15:55	17:15	18:25	19:45	21:20	22:50
152	06:52	08:12	09:37	10:57	12:17	13:27	14:47	15:57	17:17	18:27	19:47	21:22	22:52
291	06:53	08:13	09:38	10:58	12:18	13:28	14:48	15:58	17:18	18:28	19:48	21:23	22:53
261	06:54	08:14	09:39	10:59	12:19	13:29	14:49	15:59	17:19	18:29	19:49	21:24	22:54
161	06:55	08:15	09:40	11:00	12:20	13:30	14:50	16:00	17:20	18:30	19:50	21:25	22:55
172	06:56	08:16	09:41	11:01	12:21	13:31	14:51	16:01	17:21	18:31	19:51	21:26	22:56
182	06:57	08:17	09:42	11:02	12:22	13:32	14:52	16:02	17:22	18:32	19:52	21:27	22:57
582	06:59	08:19	09:44	11:04	12:24	13:34	14:54	16:04	17:24	18:34	19:54	21:29	22:59
582	07:00	08:20	09:45	11:05	12:25	13:35	14:55	16:05	17:25	18:35	19:55	21:30	23:00
691	07:01	08:21	09:46	11:06	12:26	13:36	14:56	16:06	17:26	18:36	19:56	21:31	23:01
670	07:01	08:21	09:46	11:06	12:26	13:36	14:56	16:06	17:26	18:36	19:56	21:31	23:01
431	07:02	08:22	09:47	11:07	12:27	13:37	14:57	16:07	17:27	18:37	19:57	21:32	23:02
441	07:03	08:23	09:48	11:08	12:28	13:38	14:58	16:08	17:28	18:38	19:58	21:33	23:03
451	07:03	08:23	09:48	11:08	12:28	13:38	14:58	16:08	17:28	18:38	19:58	21:33	23:03
454	07:04	08:24	09:49	11:09	12:29	13:39	14:59	16:09	17:29	18:39	19:59	21:34	23:04
532	07:04	08:24	09:49	11:09	12:29	13:39	14:59	16:09	17:29	18:39	19:59	21:34	23:04
661	07:05	08:25	09:50	11:10	12:30	13:40	15:00	16:10	17:30	18:40	20:00	21:35	23:05
461	07:06	08:26	09:51	11:11	12:31	13:41	15:01	16:11	17:31	18:41	20:01	21:36	23:06
301	07:08	08:28	09:53	11:13	12:33	13:43	15:03	16:13	17:33	18:43	20:03	21:38	23:08
311	07:09	08:29	09:54	11:14	12:34	13:44	15:04	16:14	17:34	18:44	20:04	21:39	23:09
323	07:10	08:30	09:55	11:15	12:35	13:45	15:05	16:15	17:35	18:45	20:05	21:40	23:10
332	07:11	08:31	09:56	11:16	12:36	13:46	15:06	16:16	17:36	18:46	20:06	21:41	23:11
342	07:12	08:32	09:57	11:17	12:37	13:47	15:07	16:17	17:37	18:47	20:07	21:42	23:12
412	07:14	08:34	09:59	11:19	12:39	13:49	15:09	16:19	17:39	18:49	20:09	21:44	23:14
582	07:15	08:35	10:00	11:20	12:40	13:50	15:10	16:20	17:40	18:50	20:10	21:45	23:15
591	07:16	08:36	10:01	11:21	12:41	13:51	15:11	16:21	17:41	18:51	20:11	21:46	23:16
822	07:17	08:37	10:02	11:22	12:42	13:52	15:12	16:22	17:42	18:52	20:12	21:47	23:17
601	07:18	08:38	10:03	11:23	12:43	13:53	15:13	16:23	17:43	18:53	20:13	21:48	23:18
201	07:19	08:39	10:04	11:24	12:44	13:54	15:14	16:24	17:44	18:54	20:14	21:49	23:19
181	07:21	08:41	10:06	11:26	12:46	13:56	15:16	16:26	17:46	18:56	20:16	21:51	23:21
171	07:22	08:42	10:07	11:27	12:47	13:57	15:17	16:27	17:47	18:57	20:17	21:52	23:22
163	07:23	08:43	10:08	11:28	12:48	13:58	15:18	16:28	17:48	18:58	20:18	21:53	23:23
251	07:24	08:44	10:09	11:29	12:49	13:59	15:19	16:29	17:49	18:59	20:19	21:54	23:24
292	07:25	08:45	10:10	11:30	12:50	14:00	15:20	16:30	17:50	19:00	20:20	21:55	23:25
153	07:27	08:47	10:12	11:32	12:52	14:02	15:22	16:32	17:52	19:02	20:22	21:57	23:27
132	07:28	08:48	10:13	11:33	12:53	14:03	15:23	16:33	17:53	19:03	20:23	21:58	23:28
122	07:30	08:50	10:15	11:35	12:55	14:05	15:25	16:35	17:55	19:05	20:25	22:00	23:30
111	07:33	08:53	10:18	11:38	12:58	14:08	15:28	16:38	17:58	19:08	20:28	22:03	23:33
102	07:35	08:55	10:20	11:40	13:00	14:10	15:30	16:40	18:00	19:10	20:30	22:05	23:35
