block	33	33	33	33	33	33	33	33
102	06:45	09:00	11:05	13:25	15:35	18:00	20:10	22:15
113	06:47	09:02	11:07	13:27	15:37	18:02	20:12	22:17
121	06:49	09:04	11:09	13:29	15:39	18:04	20:14	22:19
131	06:50	09:05	11:10	13:30	15:40	18:05	20:15	22:20
681	~	~	11:13	13:33	15:43	18:08	~	~
152	06:52	09:07	11:16	13:36	15:46	18:11	20:17	22:22
291	06:53	09:08	11:17	13:37	15:47	18:12	20:18	22:23
261	06:54	09:09	11:18	13:38	15:48	18:13	20:19	22:24
161	06:55	09:10	11:19	13:39	15:49	18:14	20:20	22:25
172	06:56	09:11	11:20	13:40	15:50	18:15	20:21	22:26
182	06:58	09:13	11:22	13:42	15:52	18:17	20:23	22:28
183	07:01	09:16	11:25	13:45	15:55	18:20	20:26	22:31
412	07:02	09:17	11:26	13:46	15:56	18:21	20:27	22:32
582	07:03	09:18	11:27	13:47	15:57	18:22	20:28	22:33
691	07:04	09:19	11:28	13:48	15:58	18:23	20:29	22:34
670	07:05	09:20	11:29	13:49	15:59	18:24	20:30	22:35
431	07:06	09:21	11:30	13:50	16:00	18:25	20:31	22:36
441	07:07	09:22	11:31	13:51	16:01	18:26	20:32	22:37
451	07:07	09:22	11:31	13:51	16:01	18:26	20:32	22:37
303	07:09	09:24	11:33	13:53	16:03	18:28	20:34	22:39
301	07:11	09:26	11:35	13:55	16:05	18:30	20:36	22:41
311	07:12	09:27	11:36	13:56	16:06	18:31	20:37	22:42
323	07:14	09:29	11:38	13:58	16:08	18:33	20:39	22:44
351	07:16	09:31	11:40	14:00	16:10	18:35	20:41	22:46
671	07:17	09:32	11:41	14:01	16:11	18:36	20:42	22:47
361	07:18	09:33	11:42	14:02	16:12	18:37	20:43	22:48
371	07:20	09:35	11:44	14:04	16:14	18:39	20:45	22:50
381	07:21	09:36	11:45	14:05	16:15	18:40	20:46	22:51
391	07:22	09:37	11:46	14:06	16:16	18:41	20:47	22:52
181	07:23	09:38	11:47	14:07	16:17	18:42	20:48	22:53
171	07:24	09:39	11:48	14:08	16:18	18:43	20:49	22:54
163	07:25	09:40	11:49	14:09	16:19	18:44	20:50	22:55
251	07:26	09:41	11:50	14:10	16:20	18:45	20:51	22:56
292	07:28	09:43	11:52	14:12	16:22	18:47	20:53	22:58
153	07:30	09:45	11:54	14:14	16:24	18:49	20:55	23:00
681	~	~	11:57	14:17	16:27	18:52	~	~
132	07:31	09:46	12:00	14:20	16:30	18:55	20:56	23:01
122	07:32	09:47	12:01	14:21	16:31	18:56	20:57	23:02
111	07:35	09:50	12:04	14:24	16:34	18:59	21:00	23:05
102	07:37	09:52	12:06	14:26	16:36	19:01	21:02	23:07
